Member_number,Date,itemDescription,year,month,day,day_of_week
1249,1/1/2014,citrus fruit,2014,1,1,2
1249,1/1/2014,coffee,2014,1,1,2
1381,1/1/2014,curd,2014,1,1,2
1381,1/1/2014,soda,2014,1,1,2
1440,1/1/2014,other vegetables,2014,1,1,2
1440,1/1/2014,yogurt,2014,1,1,2
1659,1/1/2014,specialty chocolate,2014,1,1,2
1659,1/1/2014,frozen vegetables,2014,1,1,2
1789,1/1/2014,hamburger meat,2014,1,1,2
1789,1/1/2014,candles,2014,1,1,2
1922,1/1/2014,tropical fruit,2014,1,1,2
1922,1/1/2014,other vegetables,2014,1,1,2
2226,1/1/2014,sausage,2014,1,1,2
2226,1/1/2014,bottled water,2014,1,1,2
2237,1/1/2014,bottled water,2014,1,1,2
2237,1/1/2014,Instant food products,2014,1,1,2
2351,1/1/2014,cleaner,2014,1,1,2
2351,1/1/2014,shopping bags,2014,1,1,2
2542,1/1/2014,sliced cheese,2014,1,1,2
2542,1/1/2014,bottled water,2014,1,1,2
2610,1/1/2014,hamburger meat,2014,1,1,2
2610,1/1/2014,bottled beer,2014,1,1,2
2610,1/1/2014,domestic eggs,2014,1,1,2
2709,1/1/2014,yogurt,2014,1,1,2
2709,1/1/2014,frozen vegetables,2014,1,1,2
2727,1/1/2014,hamburger meat,2014,1,1,2
2727,1/1/2014,frozen potato products,2014,1,1,2
2943,1/1/2014,whole milk,2014,1,1,2
2943,1/1/2014,flower (seeds),2014,1,1,2
2974,1/1/2014,berries,2014,1,1,2
2974,1/1/2014,whipped/sour cream,2014,1,1,2
2974,1/1/2014,bottled water,2014,1,1,2
3681,1/1/2014,onions,2014,1,1,2
3681,1/1/2014,whipped/sour cream,2014,1,1,2
3681,1/1/2014,dishes,2014,1,1,2
3797,1/1/2014,waffles,2014,1,1,2
3797,1/1/2014,whole milk,2014,1,1,2
3942,1/1/2014,other vegetables,2014,1,1,2
3942,1/1/2014,yogurt,2014,1,1,2
3942,1/1/2014,Instant food products,2014,1,1,2
3956,1/1/2014,yogurt,2014,1,1,2
3956,1/1/2014,shopping bags,2014,1,1,2
3956,1/1/2014,waffles,2014,1,1,2
3956,1/1/2014,chocolate,2014,1,1,2
4260,1/1/2014,soda,2014,1,1,2
4260,1/1/2014,brown bread,2014,1,1,2
4942,1/1/2014,butter,2014,1,1,2
4942,1/1/2014,frozen vegetables,2014,1,1,2
1066,2/1/2014,root vegetables,2014,1,2,3
1066,2/1/2014,bottled beer,2014,1,2,3
1248,2/1/2014,chicken,2014,1,2,3
1248,2/1/2014,butter,2014,1,2,3
1265,2/1/2014,other vegetables,2014,1,2,3
1265,2/1/2014,whole milk,2014,1,2,3
1265,2/1/2014,soda,2014,1,2,3
1365,2/1/2014,frozen vegetables,2014,1,2,3
1365,2/1/2014,specialty bar,2014,1,2,3
1528,2/1/2014,frozen vegetables,2014,1,2,3
1528,2/1/2014,tropical fruit,2014,1,2,3
1814,2/1/2014,frankfurter,2014,1,2,3
1814,2/1/2014,sparkling wine,2014,1,2,3
1870,2/1/2014,fruit/vegetable juice,2014,1,2,3
1870,2/1/2014,napkins,2014,1,2,3
2020,2/1/2014,beef,2014,1,2,3
2020,2/1/2014,fruit/vegetable juice,2014,1,2,3
2043,2/1/2014,waffles,2014,1,2,3
2043,2/1/2014,brown bread,2014,1,2,3
2311,2/1/2014,pastry,2014,1,2,3
2311,2/1/2014,canned beer,2014,1,2,3
2472,2/1/2014,other vegetables,2014,1,2,3
2472,2/1/2014,white bread,2014,1,2,3
2480,2/1/2014,citrus fruit,2014,1,2,3
2480,2/1/2014,pickled vegetables,2014,1,2,3
2828,2/1/2014,meat,2014,1,2,3
2828,2/1/2014,curd,2014,1,2,3
3130,2/1/2014,ice cream,2014,1,2,3
3130,2/1/2014,yogurt,2014,1,2,3
3178,2/1/2014,butter,2014,1,2,3
3178,2/1/2014,candy,2014,1,2,3
3259,2/1/2014,soda,2014,1,2,3
3259,2/1/2014,dishes,2014,1,2,3
3538,2/1/2014,waffles,2014,1,2,3
3538,2/1/2014,yogurt,2014,1,2,3
3641,2/1/2014,root vegetables,2014,1,2,3
3641,2/1/2014,soft cheese,2014,1,2,3
3692,2/1/2014,frozen dessert,2014,1,2,3
3692,2/1/2014,misc. beverages,2014,1,2,3
3977,2/1/2014,brown bread,2014,1,2,3
3977,2/1/2014,butter milk,2014,1,2,3
3977,2/1/2014,oil,2014,1,2,3
3977,2/1/2014,frozen meals,2014,1,2,3
4014,2/1/2014,soda,2014,1,2,3
4014,2/1/2014,shopping bags,2014,1,2,3
4364,2/1/2014,brown bread,2014,1,2,3
4364,2/1/2014,yogurt,2014,1,2,3
4408,2/1/2014,pip fruit,2014,1,2,3
4408,2/1/2014,frozen fish,2014,1,2,3
4450,2/1/2014,beef,2014,1,2,3
4450,2/1/2014,condensed milk,2014,1,2,3
4666,2/1/2014,frozen vegetables,2014,1,2,3
4666,2/1/2014,dessert,2014,1,2,3
4847,2/1/2014,soda,2014,1,2,3
4847,2/1/2014,other vegetables,2014,1,2,3
4860,2/1/2014,sugar,2014,1,2,3
4860,2/1/2014,cream cheese ,2014,1,2,3
4907,2/1/2014,rolls/buns,2014,1,2,3
4907,2/1/2014,whipped/sour cream,2014,1,2,3
4907,2/1/2014,bottled beer,2014,1,2,3
4933,2/1/2014,hard cheese,2014,1,2,3
4933,2/1/2014,bottled water,2014,1,2,3
1171,3/1/2014,soda,2014,1,3,4
1171,3/1/2014,whipped/sour cream,2014,1,3,4
1253,3/1/2014,pastry,2014,1,3,4
1253,3/1/2014,liqueur,2014,1,3,4
1529,3/1/2014,preservation products,2014,1,3,4
1529,3/1/2014,soups,2014,1,3,4
1899,3/1/2014,other vegetables,2014,1,3,4
1899,3/1/2014,brown bread,2014,1,3,4
2065,3/1/2014,sausage,2014,1,3,4
2065,3/1/2014,white bread,2014,1,3,4
2459,3/1/2014,curd,2014,1,3,4
2459,3/1/2014,whipped/sour cream,2014,1,3,4
2480,3/1/2014,other vegetables,2014,1,3,4
2480,3/1/2014,salty snack,2014,1,3,4
2480,3/1/2014,soda,2014,1,3,4
2538,3/1/2014,berries,2014,1,3,4
2538,3/1/2014,pastry,2014,1,3,4
2910,3/1/2014,sugar,2014,1,3,4
2910,3/1/2014,processed cheese,2014,1,3,4
2963,3/1/2014,pickled vegetables,2014,1,3,4
2963,3/1/2014,bottled water,2014,1,3,4
2991,3/1/2014,root vegetables,2014,1,3,4
2991,3/1/2014,soda,2014,1,3,4
2991,3/1/2014,waffles,2014,1,3,4
3197,3/1/2014,sausage,2014,1,3,4
3197,3/1/2014,margarine,2014,1,3,4
3197,3/1/2014,margarine,2014,1,3,4
3227,3/1/2014,spices,2014,1,3,4
3227,3/1/2014,cat food,2014,1,3,4
3227,3/1/2014,seasonal products,2014,1,3,4
3294,3/1/2014,root vegetables,2014,1,3,4
3294,3/1/2014,other vegetables,2014,1,3,4
3313,3/1/2014,bottled beer,2014,1,3,4
3313,3/1/2014,hard cheese,2014,1,3,4
3698,3/1/2014,yogurt,2014,1,3,4
3698,3/1/2014,shopping bags,2014,1,3,4
3761,3/1/2014,meat,2014,1,3,4
3761,3/1/2014,domestic eggs,2014,1,3,4
3831,3/1/2014,soda,2014,1,3,4
3831,3/1/2014,bottled water,2014,1,3,4
3831,3/1/2014,whipped/sour cream,2014,1,3,4
4249,3/1/2014,canned beer,2014,1,3,4
4249,3/1/2014,shopping bags,2014,1,3,4
4280,3/1/2014,soda,2014,1,3,4
4280,3/1/2014,margarine,2014,1,3,4
4280,3/1/2014,specialty chocolate,2014,1,3,4
4335,3/1/2014,whole milk,2014,1,3,4
4335,3/1/2014,canned beer,2014,1,3,4
4382,3/1/2014,fruit/vegetable juice,2014,1,3,4
4382,3/1/2014,spices,2014,1,3,4
4440,3/1/2014,butter milk,2014,1,3,4
4440,3/1/2014,newspapers,2014,1,3,4
4520,3/1/2014,mustard,2014,1,3,4
4520,3/1/2014,brown bread,2014,1,3,4
1165,4/1/2014,beef,2014,1,4,5
1165,4/1/2014,house keeping products,2014,1,4,5
1500,4/1/2014,bottled beer,2014,1,4,5
1500,4/1/2014,fruit/vegetable juice,2014,1,4,5
1545,4/1/2014,brown bread,2014,1,4,5
1545,4/1/2014,hair spray,2014,1,4,5
1616,4/1/2014,frankfurter,2014,1,4,5
1616,4/1/2014,prosecco,2014,1,4,5
1883,4/1/2014,frankfurter,2014,1,4,5
1883,4/1/2014,whole milk,2014,1,4,5
2092,4/1/2014,salty snack,2014,1,4,5
2092,4/1/2014,salty snack,2014,1,4,5
2092,4/1/2014,canned fish,2014,1,4,5
2138,4/1/2014,seasonal products,2014,1,4,5
2138,4/1/2014,white bread,2014,1,4,5
2185,4/1/2014,rolls/buns,2014,1,4,5
2185,4/1/2014,flour,2014,1,4,5
2428,4/1/2014,whole milk,2014,1,4,5
2428,4/1/2014,soda,2014,1,4,5
2477,4/1/2014,root vegetables,2014,1,4,5
2477,4/1/2014,soda,2014,1,4,5
2535,4/1/2014,sausage,2014,1,4,5
2535,4/1/2014,rolls/buns,2014,1,4,5
2641,4/1/2014,brown bread,2014,1,4,5
2641,4/1/2014,male cosmetics,2014,1,4,5
2760,4/1/2014,whole milk,2014,1,4,5
2760,4/1/2014,domestic eggs,2014,1,4,5
2760,4/1/2014,rolls/buns,2014,1,4,5
2760,4/1/2014,long life bakery product,2014,1,4,5
2809,4/1/2014,bottled beer,2014,1,4,5
2809,4/1/2014,berries,2014,1,4,5
2925,4/1/2014,male cosmetics,2014,1,4,5
2925,4/1/2014,oil,2014,1,4,5
3007,4/1/2014,rolls/buns,2014,1,4,5
3007,4/1/2014,yogurt,2014,1,4,5
3077,4/1/2014,root vegetables,2014,1,4,5
3077,4/1/2014,domestic eggs,2014,1,4,5
3133,4/1/2014,whipped/sour cream,2014,1,4,5
3133,4/1/2014,yogurt,2014,1,4,5
3284,4/1/2014,canned fish,2014,1,4,5
3284,4/1/2014,coffee,2014,1,4,5
3382,4/1/2014,cat food,2014,1,4,5
3382,4/1/2014,yogurt,2014,1,4,5
3382,4/1/2014,bottled beer,2014,1,4,5
3382,4/1/2014,pastry,2014,1,4,5
3765,4/1/2014,tropical fruit,2014,1,4,5
3765,4/1/2014,whole milk,2014,1,4,5
3765,4/1/2014,margarine,2014,1,4,5
3765,4/1/2014,bottled beer,2014,1,4,5
3830,4/1/2014,margarine,2014,1,4,5
3830,4/1/2014,domestic eggs,2014,1,4,5
4157,4/1/2014,salty snack,2014,1,4,5
4157,4/1/2014,frozen meals,2014,1,4,5
4204,4/1/2014,pastry,2014,1,4,5
4204,4/1/2014,white bread,2014,1,4,5
4726,4/1/2014,rolls/buns,2014,1,4,5
4726,4/1/2014,whole milk,2014,1,4,5
4745,4/1/2014,cat food,2014,1,4,5
4745,4/1/2014,soda,2014,1,4,5
4758,4/1/2014,rolls/buns,2014,1,4,5
